172.224.224.0/27,GB,GB-EN,London,
172.224.224.32/31,GB,GB-SC,Aberdeen,
172.224.224.34/31,GB,GB-EN,Oxford,
172.224.224.36/31,GB,GB-EN,Luton,
172.224.224.38/31,GB,GB-NI,Belfast,
172.224.224.40/31,GB,GB-SC,Dundee,
172.224.224.42/31,GB,GB-EN,Brighton,
172.224.224.44/31,GB,GB-EN,Leicester,
172.224.224.46/31,GB,GB-EN,Liverpool,
